site,country,lat,lon,coord_source,coord_status,processing_state,feed_class,commodity,status,tonnage_mt,tonnage_status,tonnage_src,notes,track
Zidani,Greece,40.3,21.79,MRDS dep 296632,footprint 12.7 km (check),tailings,serp_lizardite,chrysotile,closed 2000,,unknown,,Vourinos,A: existing tailings
Diavik,Canada,64.4961,-110.273,Wikidata Q1209233,verified-Wikidata,tailings,kimberlite_tailings,diamonds,active,,unknown,,nesquehonite; ~4 wt% inherited CO2 credited at zero,A: existing tailings
Dumont Nickel (Launay),Canada,48.63,-78.45,approximate,"footprint 2.2 km (SIGEOM sill: pyroxenite, peridotite, dunite, serpentinite); refine",outcrop-project,serp_partial,nickel,project,,,,"field cells 1.4 kg CO2/t/yr (Gras et al. 2020) | brucite 10.2-10.9 wt% (Assima 2013 / Gras 2020, unreconciled); 1.4 kg CO2/t/yr field cell",B: greenfield / project
Baptiste (Decar),Canada,54.73,-124.77,approximate,UNVERIFIED,outcrop-project,serp_partial,nickel,project,,,,Power et al. 2020 column tests,B: greenfield / project
Coral Bay region (WSP polygon 143),Australia,-23.1,113.8,WSP option analysis (polygon centroid unknown),PLACEHOLDER: coastal Coral Bay is 167 km from any GA ultramafic unit; WSP polygon 143 centroid unknown (geometry not delivered),outcrop,dunite_fresh,none,greenfield,,,,WSP Stage-3 co-top site; 10% serpentinite presence by area,B: greenfield / project
Turkey polygon 22 (WSP),Turkey,38.0,36.5,unknown,UNVERIFIED,outcrop,serp_lizardite,none,greenfield,,,,WSP Stage-3 site; 99% ophiolite by area; centroid unknown,B: greenfield / project
Niquelândia complex,Brazil,-14.47,-48.46,Wikidata Q1794378 (town) / SGB unit 1.0 km,verified-footprint 1.0 km (SGB 1:1M 'Zona Ultramáfica'),tailings,dunite_fresh,nickel laterite,active (Anglo American/others),,unknown,,dunite/orthopyroxenite/chromitite; Ni-laterite saprolite overburden also present,A: existing tailings
Barro Alto,Brazil,-15.1,-48.9,approximate,footprint 4.4 km (SGB mafic zone); refine,tailings,laterite_saprolite,nickel laterite,active,,unknown,,,A: existing tailings
Koniambo,New Caledonia,-21.0,164.8,approximate,verified-footprint 0 km (Georep 1:50k laterites sur péridotites),tailings,laterite_saprolite,nickel laterite,care and maintenance 2024,,unknown,,,A: existing tailings
Tiébaghi,New Caledonia,-20.45,164.2,approximate,verified-footprint 0 km (Georep),tailings,laterite_saprolite,nickel laterite,active (SLN),,unknown,,,A: existing tailings
Goro (Massif du Sud),New Caledonia,-22.3,167.0,approximate,verified-footprint 0 km (Georep),tailings,laterite_saprolite,nickel laterite,active (Prony Resources),,unknown,,"HPAL residue, not serpentinite tailings; class to confirm",A: existing tailings
