site,country,track,feed_class,mode,scenario,gross_t_per_t_p50,gross_p10,gross_p90,net_t_per_t_p50,share_not_viable,cost_usd_per_tco2_p50,cost_p10,cost_p90,removal_Mt_p50,t_air_c,precip_mm,moisture_factor,slope_deg,road_km,grid_gco2_kwh,grid_src,elec_usd_per_mwh,elec_src
Woodsreef,Australia,A: existing tailings,serp_lizardite,passive_pile,FOAK,0.020039564314511923,0.010229321466596844,0.03363998641823827,0.020039564314511923,0.0,1047.382771626968,558.029370453584,2195.609224636363,0.500989107862798,16.5,644,1.0,0.8,0.7,650,New South Wales NEM: WSP: ~0.60-0.70,,tier default range
Mount Keith,Australia,A: existing tailings,serp_partial,passive_pile,FOAK,0.030918827628479077,0.019582400785695647,0.04579615794389373,0.030918827628479077,0.0,662.2585791434681,388.7131363754556,1174.6993650168467,,21.7,284,1.0,1.0,1.2,500,Western Australia SWIS: WSP: ~0.45-0.55,,tier default range
Shabanie (Zvishavane),Zimbabwe,A: existing tailings,serp_lizardite,passive_pile,FOAK,0.021117091394855472,0.010801723473166403,0.0348337941843396,0.021117091394855472,0.0,951.6947758969391,509.1897146719034,1973.8163125751412,,21.2,578,1.0,0.5,3.6,500,Zimbabwe: WSP: ~0.45-0.55,,tier default range
Gaths (Mashava),Zimbabwe,A: existing tailings,serp_lizardite,passive_pile,FOAK,0.021047245205959204,0.011249914044240045,0.03453186561284374,0.021047245205959204,0.0,937.3093202087814,525.8343234002255,1994.2542060225783,3.009756064452166,19.8,617,1.0,3.0,0.3,500,Zimbabwe: WSP: ~0.45-0.55,,tier default range
Havelock / Bulembu,Eswatini,A: existing tailings,serp_lizardite,passive_pile,FOAK,0.019693128646595885,0.00975103110173967,0.03343251697880891,0.019693128646595885,0.0,1061.7114307349698,576.1810920730911,2279.993257327099,0.9846564323297943,15.4,1100,1.0,13.8,1.9,131,Ember latest year,,tier default range
Msauli,South Africa,A: existing tailings,serp_lizardite,passive_pile,FOAK,0.019135958855239072,0.00991221766673402,0.03213151260600173,0.019135958855239072,0.0,1117.5510821150433,590.9947665122917,2304.2168646260016,,14.4,1072,1.0,4.2,5.3,699,Ember latest year,,tier default range
Cana Brava (SAMA),Brazil,A: existing tailings,serp_lizardite,passive_pile,FOAK,0.021567563563994127,0.010508583854299187,0.03626770885706955,0.021567563563994127,0.0,873.3795876594902,469.4752777807445,1914.1621060681825,,26.5,1239,1.0,3.0,4.7,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Bazhenovskoye (Uralasbest),Russia,A: existing tailings,serp_antigorite,passive_pile,FOAK,0.0028283810842890146,0.0010397244681615882,0.005525256264964078,0.0028283810842890146,0.0,8128.464998781441,3654.8095988575224,23546.076590099838,,2.7,525,1.0,6.2,1.1,410,Urals (Russia): WSP: ~0.37-0.45,,tier default range
Dzhetygara (Zhitikara),Kazakhstan,A: existing tailings,serp_lizardite,passive_pile,FOAK,0.013151797660450777,0.00613907224900714,0.02376381178756113,0.013151797660450777,0.0,1758.3455627861017,880.234655416665,4097.185718573056,,4.0,331,1.0,0.2,0.4,410,Urals (Russia): WSP: ~0.37-0.45,,tier default range
Balangero,Italy,A: existing tailings,serp_antigorite,passive_pile,FOAK,0.0038401423541772547,0.0015078743458777479,0.0073802251046083825,0.0038401423541772547,0.0,5628.031758526967,2649.3063530908817,14807.080719658868,,11.5,1006,1.0,7.5,0.7,285,Ember latest year,,tier default range
Amiantos,Cyprus,A: existing tailings,serp_lizardite,passive_pile,FOAK,0.01890935661932991,0.009458721305181682,0.031307983381809804,0.01890935661932991,0.0,1128.9933193166353,599.5930587649067,2583.979532345831,,13.0,728,1.0,9.8,0.8,400,Turkey: WSP: ~0.38-0.42,,tier default range
Zidani,Greece,A: existing tailings,serp_lizardite,passive_pile,FOAK,0.018785131279363033,0.00922665405990034,0.03144581656193738,0.018785131279363033,0.0,1168.8337081786058,603.8736120531207,2571.343151494283,,12.4,516,1.0,2.5,0.7,324,Ember latest year,,tier default range
Diavik,Canada,A: existing tailings,kimberlite_tailings,passive_pile,FOAK,0.0040743238655124685,0.0019589935738289167,0.007888391891794194,0.0040743238655124685,0.0,5772.512539114194,2714.8274379423424,13153.3296010644,,-9.6,428,1.0,0.5,265.6,191,Ember latest year,,tier default range
Dumont Nickel (Launay),Canada,B: greenfield / project,serp_partial,passive_pile,FOAK,0.01918828449049352,0.010740629692087354,0.03086927770344291,0.01568452116516385,0.0,2920.7895810573877,1549.950801828729,6435.5948070942695,,1.9,946,1.0,0.0,0.7,1,"Abitibi, Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh",46.0,"Abitibi, Quebec: Arca TEA demo column"
Baptiste (Decar),Canada,B: greenfield / project,serp_partial,passive_pile,FOAK,0.02106274944238129,0.012276094629986137,0.03260317228402162,0.01384575859402096,0.006000000000000005,3353.4798391741488,1723.8855846540037,9365.639739972588,,3.6,579,1.0,0.8,45.9,191,Ember latest year,,tier default range
Coral Bay region (WSP polygon 143),Australia,B: greenfield / project,dunite_fresh,passive_pile,FOAK,0.0020271649059090697,0.0007627986216976359,0.004048745065300056,-0.0109534829317522,1.0,,,,,23.5,235,1.0,0.2,0.8,500,Western Australia SWIS: WSP: ~0.45-0.55,,tier default range
Turkey polygon 22 (WSP),Turkey,B: greenfield / project,serp_lizardite,passive_pile,FOAK,0.01765218925497157,0.008666654792177009,0.029892502579739556,0.006396623691448111,0.14600000000000002,4739.986396441425,1953.791874867214,22510.742082377506,,10.5,601,1.0,0.0,0.7,400,Turkey: WSP: ~0.38-0.42,,tier default range
Niquelândia complex,Brazil,A: existing tailings,dunite_fresh,passive_pile,FOAK,0.0021703075620617745,0.0008565496230556581,0.004242278227625661,0.0021703075620617745,0.0,8706.72733005776,4018.3210499527186,23931.959785067487,,24.9,1477,1.0,2.2,0.8,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Barro Alto,Brazil,A: existing tailings,laterite_saprolite,passive_pile,FOAK,0.007528899252279673,0.0032118077135744765,0.013070755329597894,0.007528899252279673,0.0,2549.640356900202,1274.2772825104098,6331.039503127824,,25.1,1494,1.0,0.5,1.7,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Koniambo,New Caledonia,A: existing tailings,laterite_saprolite,passive_pile,FOAK,0.0072198232039949704,0.0029783286890397395,0.012712576973782237,0.0072198232039949704,0.0,2811.593935631819,1410.034027245778,7355.905914132429,,19.9,1827,1.0,9.0,5.6,561,Ember latest year,,tier default range
Tiébaghi,New Caledonia,A: existing tailings,laterite_saprolite,passive_pile,FOAK,0.007296383659836316,0.003186653745224953,0.01274826968370433,0.007296383659836316,0.0,2682.4400914936305,1376.7755983696984,6800.030883992064,,21.4,1356,1.0,2.2,1.7,561,Ember latest year,,tier default range
Goro (Massif du Sud),New Caledonia,A: existing tailings,laterite_saprolite,passive_pile,FOAK,0.006639167655358333,0.002799289125773901,0.012001052520423949,0.006639167655358333,0.0,3214.079652960305,1528.3252931787727,8138.837853378693,,21.8,2715,1.0,4.2,0.8,561,Ember latest year,,tier default range
Jeffrey Mine (Val-des-Sources),Canada,A: existing tailings,serp_partial,passive_pile,NOAK,0.022829497621105335,0.013738996305333831,0.03536687141035603,0.022829497621105335,0.0,613.9946856997551,340.5440426151194,1190.8649613037169,,5.9,1248,1.0,5.8,1.0,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Black Lake pile (Thetford Mines),Canada,A: existing tailings,serp_lizardite,passive_pile,NOAK,0.0143936186172378,0.006866163302437905,0.024908162260946082,0.0143936186172378,0.0,968.5301428307289,494.9619941236779,2317.768013332544,1.583298047896158,5.0,1284,1.0,5.0,1.4,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Thetford Mines district (all piles),Canada,A: existing tailings,serp_lizardite,passive_pile,NOAK,0.014002230454965556,0.006555800320208828,0.024678405649601855,0.014002230454965556,0.0,1011.5509481055215,501.7661019698042,2346.540643101518,,4.2,1385,1.0,1.0,1.3,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Asbestos Hill (Purtuniq),Canada,A: existing tailings,serp_lizardite,passive_pile,NOAK,0.0060853541498198955,0.0026044173166936643,0.011498706377819001,0.0060853541498198955,0.0,2481.94461223081,1114.73033706991,6076.787576872407,,-10.3,760,1.0,2.0,916.8,750,Nunavik off-grid diesel: judgement: isolated diesel generation; no grid connection,,tier default range
Baie Verte (Advocate),Canada,A: existing tailings,serp_lizardite,passive_pile,NOAK,0.013384210782177473,0.006670151590107681,0.02375766459904217,0.013384210782177473,0.0,1043.8653320390752,516.7698712531293,2354.3884163841585,0.6290579067623412,3.0,1382,1.0,1.5,0.9,191,Ember latest year,,tier default range
Cassiar,Canada,A: existing tailings,serp_lizardite,passive_pile,NOAK,0.00777567523850351,0.003393493512403018,0.014631275290788509,0.00777567523850351,0.0,1873.4743298639614,894.5641380400034,4550.4596620907605,0.13218647905455966,-6.7,1180,1.0,7.5,11.7,191,Ember latest year,,tier default range
Clinton Creek,Canada,A: existing tailings,serp_lizardite,passive_pile,NOAK,0.00922591879505506,0.0043770167293229354,0.017409420676609222,0.00922591879505506,0.0,1514.0600677413936,749.9855773656376,3707.486197283372,0.0922591879505506,-3.7,467,1.0,3.8,20.0,191,Ember latest year,,tier default range
New Idria,United States,A: existing tailings,serp_partial,passive_pile,NOAK,0.027826332351369908,0.01695970866375801,0.04212222081789362,0.027826332351369908,0.0,491.31947497348494,274.21547818463705,863.2621625010772,,13.8,371,1.0,7.8,1.8,185,"California: WSP option analysis, Carbon Intensity.docx: ~0.15-0.22 kg/kWh",,tier default range
Atlas / Coalinga asbestos,United States,A: existing tailings,serp_partial,passive_pile,NOAK,0.027719043992785068,0.01694781455229886,0.04081404461036962,0.027719043992785068,0.0,495.94707455668026,284.15015683164273,883.0354817886152,,12.3,386,1.0,9.0,6.2,185,"California: WSP option analysis, Carbon Intensity.docx: ~0.15-0.22 kg/kWh",,tier default range
Lowell / Belvidere (VAG),United States,A: existing tailings,serp_lizardite,passive_pile,NOAK,0.013948320224412246,0.0068894140814146,0.0241041418772769,0.013948320224412246,0.0,1015.0001424648902,512.909032471574,2213.373847379852,0.6276744100985511,4.9,1749,1.0,6.8,3.8,230,Vermont / New England (ISO-NE): judgement placeholder: ISO-NE marginal ~0.2-0.3 kg/kWh; replace with eGRID NEWE,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Woodsreef,Australia,A: existing tailings,serp_lizardite,passive_pile,NOAK,0.020661646896738464,0.010124740025803065,0.03397714907952633,0.020661646896738464,0.0,632.8524226745916,330.96023703061087,1396.354438403908,0.5165411724184615,16.5,644,1.0,0.8,0.7,650,New South Wales NEM: WSP: ~0.60-0.70,,tier default range
Mount Keith,Australia,A: existing tailings,serp_partial,passive_pile,NOAK,0.030730808530060952,0.019628632125717582,0.04530712460564523,0.030730808530060952,0.0,416.7941934440745,243.38084737638061,752.0670749582453,,21.7,284,1.0,1.0,1.2,500,Western Australia SWIS: WSP: ~0.45-0.55,,tier default range
Shabanie (Zvishavane),Zimbabwe,A: existing tailings,serp_lizardite,passive_pile,NOAK,0.021169674620289902,0.010640263153332588,0.034593355074190486,0.021169674620289902,0.0,579.9658128637318,315.8243902203771,1213.9526473616004,,21.2,578,1.0,0.5,3.6,500,Zimbabwe: WSP: ~0.45-0.55,,tier default range
Gaths (Mashava),Zimbabwe,A: existing tailings,serp_lizardite,passive_pile,NOAK,0.020592271484514375,0.009995223262696905,0.03428209688458569,0.020592271484514375,0.0,617.819237404284,320.9869050721346,1351.7004175811032,2.944694822285556,19.8,617,1.0,3.0,0.3,500,Zimbabwe: WSP: ~0.45-0.55,,tier default range
Havelock / Bulembu,Eswatini,A: existing tailings,serp_lizardite,passive_pile,NOAK,0.019369565629351344,0.009590994350185148,0.03261484407784737,0.019369565629351344,0.0,664.6042075960567,355.2852484643096,1408.297551518517,0.9684782814675672,15.4,1100,1.0,13.8,1.9,131,Ember latest year,,tier default range
Msauli,South Africa,A: existing tailings,serp_lizardite,passive_pile,NOAK,0.018824437953970628,0.009132703331274597,0.03292522180247158,0.018824437953970628,0.0,697.6644125559443,359.70369502226566,1534.8226031094118,,14.4,1072,1.0,4.2,5.3,699,Ember latest year,,tier default range
Cana Brava (SAMA),Brazil,A: existing tailings,serp_lizardite,passive_pile,NOAK,0.02165829249361874,0.010934561989782434,0.035684484491146196,0.02165829249361874,0.0,548.3132504547807,300.9641637016926,1162.0162685054065,,26.5,1239,1.0,3.0,4.7,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Bazhenovskoye (Uralasbest),Russia,A: existing tailings,serp_antigorite,passive_pile,NOAK,0.0027808772507197698,0.0011070961546521309,0.005712190985567273,0.0027808772507197698,0.0,4878.2954409409795,2202.7172275062235,13230.527406390083,,2.7,525,1.0,6.2,1.1,410,Urals (Russia): WSP: ~0.37-0.45,,tier default range
Dzhetygara (Zhitikara),Kazakhstan,A: existing tailings,serp_lizardite,passive_pile,NOAK,0.012913667142394083,0.0059588029619004,0.022926640817879314,0.012913667142394083,0.0,1101.160245773583,547.7680140386443,2578.801276747519,,4.0,331,1.0,0.2,0.4,410,Urals (Russia): WSP: ~0.37-0.45,,tier default range
Balangero,Italy,A: existing tailings,serp_antigorite,passive_pile,NOAK,0.003742317841022097,0.0014765806789738844,0.007438612506020532,0.003742317841022097,0.0,3476.8943689877924,1605.4584301113907,9386.228476962218,,11.5,1006,1.0,7.5,0.7,285,Ember latest year,,tier default range
Amiantos,Cyprus,A: existing tailings,serp_lizardite,passive_pile,NOAK,0.018139368272577935,0.009236200532089995,0.0309929489844379,0.018139368272577935,0.0,745.5829933376597,373.40939485062603,1569.3695656073373,,13.0,728,1.0,9.8,0.8,400,Turkey: WSP: ~0.38-0.42,,tier default range
Zidani,Greece,A: existing tailings,serp_lizardite,passive_pile,NOAK,0.018318615247512417,0.009146647459377034,0.03139882976147036,0.018318615247512417,0.0,727.2963325318201,371.92239812598393,1555.1447740023277,,12.4,516,1.0,2.5,0.7,324,Ember latest year,,tier default range
Diavik,Canada,A: existing tailings,kimberlite_tailings,passive_pile,NOAK,0.004238602922184886,0.0018436668215520947,0.007833634482085274,0.004238602922184886,0.0,3446.5037925897877,1617.1995233991458,8188.174696565333,,-9.6,428,1.0,0.5,265.6,191,Ember latest year,,tier default range
Dumont Nickel (Launay),Canada,B: greenfield / project,serp_partial,passive_pile,NOAK,0.019116355625851202,0.010718921160724551,0.031103404456389858,0.015576809202606772,0.0010000000000000009,2356.5043079921384,1210.5416923853652,5501.17057891239,,1.9,946,1.0,0.0,0.7,1,"Abitibi, Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh",46.0,"Abitibi, Quebec: Arca TEA demo column"
Baptiste (Decar),Canada,B: greenfield / project,serp_partial,passive_pile,NOAK,0.02104264952587794,0.011753531402787589,0.033573074624469276,0.013897198502871452,0.010000000000000009,2652.520528636696,1309.1927999579402,7566.029397053019,,3.6,579,1.0,0.8,45.9,191,Ember latest year,,tier default range
Coral Bay region (WSP polygon 143),Australia,B: greenfield / project,dunite_fresh,passive_pile,NOAK,0.0019731045687749063,0.0007362853137053949,0.003986903387375449,-0.011017136163384914,1.0,,,,,23.5,235,1.0,0.2,0.8,500,Western Australia SWIS: WSP: ~0.45-0.55,,tier default range
Turkey polygon 22 (WSP),Turkey,B: greenfield / project,serp_lizardite,passive_pile,NOAK,0.017577976352721396,0.00883228869626578,0.030158633494837387,0.0063626487283472925,0.14849999999999997,3653.240655079713,1501.8757181460371,17921.36963267278,,10.5,601,1.0,0.0,0.7,400,Turkey: WSP: ~0.38-0.42,,tier default range
Niquelândia complex,Brazil,A: existing tailings,dunite_fresh,passive_pile,NOAK,0.0021970519856343365,0.0008280135714478897,0.004229133608560809,0.0021970519856343365,0.0,5297.632518142849,2423.8487481942825,14529.457597661776,,24.9,1477,1.0,2.2,0.8,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Barro Alto,Brazil,A: existing tailings,laterite_saprolite,passive_pile,NOAK,0.007663859381348167,0.0032638187529897755,0.013317145961102485,0.007663859381348167,0.0,1534.7456409741517,782.295690731976,3847.7392781101776,,25.1,1494,1.0,0.5,1.7,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Koniambo,New Caledonia,A: existing tailings,laterite_saprolite,passive_pile,NOAK,0.0071641210320068024,0.003156313728904819,0.012697554036291183,0.0071641210320068024,0.0,1737.82174291794,838.8874701067098,4317.885430681727,,19.9,1827,1.0,9.0,5.6,561,Ember latest year,,tier default range
Tiébaghi,New Caledonia,A: existing tailings,laterite_saprolite,passive_pile,NOAK,0.00733279196026971,0.003096901132556977,0.013015469088426294,0.00733279196026971,0.0,1665.18471820174,814.5824399548767,4228.832750002864,,21.4,1356,1.0,2.2,1.7,561,Ember latest year,,tier default range
Goro (Massif du Sud),New Caledonia,A: existing tailings,laterite_saprolite,passive_pile,NOAK,0.006582671286341768,0.002774035478187084,0.011887679808526324,0.006582671286341768,0.0,1980.721279796655,956.6463363704082,5009.000831221786,,21.8,2715,1.0,4.2,0.8,561,Ember latest year,,tier default range
Jeffrey Mine (Val-des-Sources),Canada,A: existing tailings,serp_partial,reactor_aerated,FOAK,0.03318509344766768,0.021119152288626156,0.04820960559607628,0.03308765818113124,0.0,1446.8043409724762,848.1520244416298,2621.576040995498,,5.9,1248,1.0,5.8,1.0,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Black Lake pile (Thetford Mines),Canada,A: existing tailings,serp_lizardite,reactor_aerated,FOAK,0.02192608078486078,0.011242467869535496,0.037004012007099435,0.021848752234891966,0.0,2187.048919198807,1135.341040179907,4890.44792403177,2.4118688863346858,5.0,1284,1.0,5.0,1.4,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Thetford Mines district (all piles),Canada,A: existing tailings,serp_lizardite,reactor_aerated,FOAK,0.021997182934340984,0.011143390227990227,0.036565386366340165,0.02190418461265791,0.0,2201.7829874632757,1168.5552197287232,4960.301820913614,,4.2,1385,1.0,1.0,1.3,1,Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Asbestos Hill (Purtuniq),Canada,A: existing tailings,serp_lizardite,reactor_aerated,FOAK,0.019758110198419096,0.009057663022479092,0.03270705836125644,-0.03554568579094292,0.9145,9270.044106884048,2914.326687845617,51802.42471434034,,-10.3,760,1.0,2.0,916.8,750,Nunavik off-grid diesel: judgement: isolated diesel generation; no grid connection,,tier default range
Baie Verte (Advocate),Canada,A: existing tailings,serp_lizardite,reactor_aerated,FOAK,0.02239729880534009,0.011716713250161171,0.03662247718481324,0.008565776534171326,0.10699999999999998,3807.191207605204,1634.5826297896451,15504.816883879272,1.0526730438509841,3.0,1382,1.0,1.5,0.9,191,Ember latest year,,tier default range
Cassiar,Canada,A: existing tailings,serp_lizardite,reactor_aerated,FOAK,0.020659920407065373,0.009949733010801348,0.03420340831007418,0.006622674831037212,0.16449999999999998,4866.24017574999,2019.4138332622006,21516.07093840408,0.35121864692011134,-6.7,1180,1.0,7.5,11.7,191,Ember latest year,,tier default range
Clinton Creek,Canada,A: existing tailings,serp_lizardite,reactor_aerated,FOAK,0.021188609426174343,0.010333163539636508,0.035156815003895454,0.006781634196213372,0.15800000000000003,4558.745659654032,1838.3874062976777,21101.001281467194,0.21188609426174343,-3.7,467,1.0,3.8,20.0,191,Ember latest year,,tier default range
New Idria,United States,A: existing tailings,serp_partial,reactor_aerated,FOAK,0.03415180031121047,0.021200803683653364,0.048631598388633776,0.019946723531336585,0.0030000000000000027,2021.1709598479742,1084.1309700737072,4818.883465432544,,13.8,371,1.0,7.8,1.8,185,"California: WSP option analysis, Carbon Intensity.docx: ~0.15-0.22 kg/kWh",,tier default range
Atlas / Coalinga asbestos,United States,A: existing tailings,serp_partial,reactor_aerated,FOAK,0.03347247230096564,0.021514629518341547,0.04758372938884576,0.01942422237116646,0.0030000000000000027,2109.0074323731237,1086.8313754088183,4753.885778040805,,12.3,386,1.0,9.0,6.2,185,"California: WSP option analysis, Carbon Intensity.docx: ~0.15-0.22 kg/kWh",,tier default range
Lowell / Belvidere (VAG),United States,A: existing tailings,serp_lizardite,reactor_aerated,FOAK,0.021731140405174425,0.010897330357115268,0.03671282544108551,0.004910380360409312,0.17400000000000004,4045.299345189167,1654.4632051361168,17817.312880002206,0.9779013182328491,4.9,1749,1.0,6.8,3.8,230,Vermont / New England (ISO-NE): judgement placeholder: ISO-NE marginal ~0.2-0.3 kg/kWh; replace with eGRID NEWE,46.0,Quebec (HydroQuebec industrial): Arca TEA demo column
Woodsreef,Australia,A: existing tailings,serp_lizardite,reactor_aerated,FOAK,0.02178613940402603,0.011375778588133389,0.037373014782081056,-0.025646083138279555,0.745,6781.116077494151,2252.3880620956334,37835.17667871215,0.5446534851006508,16.5,644,1.0,0.8,0.7,650,New South Wales NEM: WSP: ~0.60-0.70,,tier default range
Mount Keith,Australia,A: existing tailings,serp_partial,reactor_aerated,FOAK,0.03349692584162367,0.02149896393198213,0.04803528833761316,-0.003337215650845002,0.271,3602.070064777158,1436.9060134169029,15919.604486379038,,21.7,284,1.0,1.0,1.2,500,Western Australia SWIS: WSP: ~0.45-0.55,,tier default range
Shabanie (Zvishavane),Zimbabwe,A: existing tailings,serp_lizardite,reactor_aerated,FOAK,0.021592793429568977,0.011457234777627601,0.03629180840251359,-0.014624801799688192,0.5740000000000001,6110.097792285134,2093.6873245045176,36025.5929596556,,21.2,578,1.0,0.5,3.6,500,Zimbabwe: WSP: ~0.45-0.55,,tier default range
Gaths (Mashava),Zimbabwe,A: existing tailings,serp_lizardite,reactor_aerated,FOAK,0.02202728448376702,0.011077630744514197,0.03619233438010691,-0.014601925481422248,0.575,5614.668350444316,2130.897003995009,29746.16920674664,3.149901681178684,19.8,617,1.0,3.0,0.3,500,Zimbabwe: WSP: ~0.45-0.55,,tier default range
Havelock / Bulembu,Eswatini,A: existing tailings,serp_lizardite,reactor_aerated,FOAK,0.02259144449970154,0.011425654224321822,0.037119980301091766,0.012467087456454858,0.027000000000000024,3041.374457112812,1407.4221147963851,9742.602170202734,1.129572224985077,15.4,1100,1.0,13.8,1.9,131,Ember latest year,,tier default range
Msauli,South Africa,A: existing tailings,serp_lizardite,reactor_aerated,FOAK,0.021532157042827398,0.010931764197612692,0.036822543612046434,-0.02943593123186202,0.8015,7233.543986344724,2332.201667184535,45267.48177993259,,14.4,1072,1.0,4.2,5.3,699,Ember latest year,,tier default range
Cana Brava (SAMA),Brazil,A: existing tailings,serp_lizardite,reactor_aerated,FOAK,0.02217650347682456,0.011190635965653051,0.036773568217873275,0.01454644431142851,0.014000000000000012,2741.3574363558646,1371.36257150769,8263.639236390778,,26.5,1239,1.0,3.0,4.7,105,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Bazhenovskoye (Uralasbest),Russia,A: existing tailings,serp_antigorite,reactor_aerated,FOAK,0.004652426582547352,0.0018993125307800555,0.008843392477167951,-0.024833103182652715,0.9945,97489.38336939854,34626.62237641066,254388.33201574665,,2.7,525,1.0,6.2,1.1,410,Urals (Russia): WSP: ~0.37-0.45,,tier default range
