site,country,lat,lon,coord_source,coord_status,processing_state,feed_class,commodity,status,tonnage_mt,tonnage_status,tonnage_src,notes,track,t_air_c,t_season_c,precip_mm,slope_deg,road_km,iso3,grid_gco2_kwh,grid_src,elec_usd_per_mwh,elec_src
Woodsreef,Australia,-30.4,150.72,literature (Barraba NSW),"verified-footprint 0.3 km (GA 1:1M Woodsreef Melange); MRDS value 95 km off, rejected",tailings,serp_lizardite,chrysotile,closed 1983,25.0,verified,NSW DPE 2018 fact sheet,plus 75 Mt waste rock; passive 229-405 g CO2/m2/yr (Turvey 2018) | 33-yr passive uptake 17.6 g CO2/kg = 0.0176 t/t (Hamilton thesis),A: existing tailings,16.450000000000045,52.39,644.2,0.75,0.734201617736322,AUS,650.0,New South Wales NEM: WSP: ~0.60-0.70,,tier default range
Mount Keith,Australia,-27.2134,120.5518,Wikidata Q14935869,verified-footprint 5.9 km (GA 1:1M ultramafic intrusive),tailings,serp_partial,nickel,active,,unknown,,39800 tCO2/yr passive (Wilson 2014); brucite 2.5 wt% at depth; throughput divisor UNVERIFIED | brucite 1.0-2.5 wt%; 11 Mt/yr tailings; 3.6 kg CO2/t/yr (Wilson 2014 manuscript),A: existing tailings,21.650000000000034,62.36,284.3,1.0,1.150923576337203,AUS,500.0,Western Australia SWIS: WSP: ~0.45-0.55,,tier default range
Shabanie (Zvishavane),Zimbabwe,-20.297,30.135,MRDS dep 154739,UNVERIFIED (no footprint coverage),tailings,serp_lizardite,chrysotile,closed 2004,,see combined,Runganga 2024: Shabanie+Gaths >143 Mt combined (approximate),MgO ~40.3%,A: existing tailings,21.150000000000034,32.35,577.5,0.5,3.558242567472839,ZWE,500.0,Zimbabwe: WSP: ~0.45-0.55,,tier default range
Gaths (Mashava),Zimbabwe,-20.0167,30.5167,Wikidata Q5527401,UNVERIFIED (no footprint coverage),tailings,serp_lizardite,chrysotile,closed,143.0,approximate,Runganga 2024 10.56532/mjsat.v4i1.159 (combined with Shabanie),,A: existing tailings,19.750000000000057,31.490000000000002,617.0,3.0,0.2593831159754837,ZWE,500.0,Zimbabwe: WSP: ~0.45-0.55,,tier default range
Havelock / Bulembu,Eswatini,-25.93,31.135,MRDS dep 297277,UNVERIFIED,tailings,serp_lizardite,chrysotile,closed 2001,50.0,verified,Gan et al. 2022 10.17159/2411-9717/1612/2022 (ore mined and milled; most in TSFs),,A: existing tailings,15.350000000000023,31.07,1099.8,13.75,1.9447029567851863,SWZ,131.15,Ember latest year,,tier default range
Msauli,South Africa,-25.897,31.085,MRDS dep 202470,UNVERIFIED,tailings,serp_lizardite,chrysotile,closed,,unknown,,Barberton belt,A: existing tailings,14.350000000000023,31.310000000000002,1071.7,4.25,5.337363851210403,ZAF,698.96,Ember latest year,,tier default range
Cana Brava (SAMA),Brazil,-13.198,-48.149,MRDS dep 67434,"verified-footprint 2.0 km (SGB 1:1M Canabrava complex; licence unresolved, local check only)",tailings,serp_lizardite,chrysotile,active (export),,unknown,DNPM 2001 reserve 287 Mt @ 6.03% fibre; 2006: 3.5 Mt ore + 5.1 Mt waste,cumulative tailings NOT FOUND,A: existing tailings,26.450000000000045,9.61,1239.0,3.0,4.661656520712481,BRA,105.0,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Bazhenovskoye (Uralasbest),Russia,57.0,61.5,approximate (Asbest town),UNVERIFIED,tailings,serp_antigorite,chrysotile,active,,unknown,trade press reserve 3380 Mt ore (UNVERIFIED),world's largest chrysotile operation; polymorph class to confirm,A: existing tailings,2.650000000000034,116.13,525.4,6.25,1.0649978870071415,RUS,410.0,Urals (Russia): WSP: ~0.37-0.45,,tier default range
Dzhetygara (Zhitikara),Kazakhstan,52.198,61.218,MRDS dep 248874,UNVERIFIED,tailings,serp_lizardite,chrysotile,active,,unknown,,Kostanay Minerals,A: existing tailings,3.9500000000000455,128.53,331.20000000000005,0.25,0.3912649464852195,KAZ,410.0,Urals (Russia): WSP: ~0.37-0.45,,tier default range
Balangero,Italy,45.28,7.52,literature (Lanzo valleys),UNVERIFIED (MRDS entries inconsistent),tailings,serp_antigorite,chrysotile,closed 1990,,unknown,,polymorph class to confirm,A: existing tailings,11.450000000000045,71.96000000000001,1006.1,7.5,0.6798278389527614,ITA,284.63,Ember latest year,,tier default range
Amiantos,Cyprus,34.928,32.918,MRDS dep 249358,verified-footprint 0 km,tailings,serp_lizardite,chrysotile,closed 1988,,unknown,,Troodos,A: existing tailings,12.950000000000045,72.63,728.1,9.75,0.8250135239926689,CYP,400.0,Turkey: WSP: ~0.38-0.42,,tier default range
Zidani,Greece,40.3,21.79,MRDS dep 296632,footprint 12.7 km (check),tailings,serp_lizardite,chrysotile,closed 2000,,unknown,,Vourinos,A: existing tailings,12.350000000000023,76.26,515.9,2.5,0.6992084072928074,GRC,324.41,Ember latest year,,tier default range
Diavik,Canada,64.4961,-110.273,Wikidata Q1209233,verified-Wikidata,tailings,kimberlite_tailings,diamonds,active,,unknown,,nesquehonite; ~4 wt% inherited CO2 credited at zero,A: existing tailings,-9.649999999999977,145.08,428.5,0.5,265.5839567788999,CAN,190.73,Ember latest year,,tier default range
Dumont Nickel (Launay),Canada,48.63,-78.45,approximate,"footprint 2.2 km (SIGEOM sill: pyroxenite, peridotite, dunite, serpentinite); refine",outcrop-project,serp_partial,nickel,project,,,,"field cells 1.4 kg CO2/t/yr (Gras et al. 2020) | brucite 10.2-10.9 wt% (Assima 2013 / Gras 2020, unreconciled); 1.4 kg CO2/t/yr field cell",B: greenfield / project,1.8500000000000227,118.69,945.9000000000001,0.0,0.6664219648589104,CAN,1.2,"Abitibi, Quebec (HydroQuebec): Arca TEA LCA sheet: HydroQuebec 0.0012 t/MWh",46.0,"Abitibi, Quebec: Arca TEA demo column"
Baptiste (Decar),Canada,54.73,-124.77,approximate,UNVERIFIED,outcrop-project,serp_partial,nickel,project,,,,Power et al. 2020 column tests,B: greenfield / project,3.5500000000000114,88.65,578.6,0.75,45.884464791641506,CAN,190.73,Ember latest year,,tier default range
Coral Bay region (WSP polygon 143),Australia,-23.1,113.8,WSP option analysis (polygon centroid unknown),PLACEHOLDER: coastal Coral Bay is 167 km from any GA ultramafic unit; WSP polygon 143 centroid unknown (geometry not delivered),outcrop,dunite_fresh,none,greenfield,,,,WSP Stage-3 co-top site; 10% serpentinite presence by area,B: greenfield / project,23.450000000000045,26.41,234.9,0.25,0.7553985402374541,AUS,500.0,Western Australia SWIS: WSP: ~0.45-0.55,,tier default range
Turkey polygon 22 (WSP),Turkey,38.0,36.5,unknown,UNVERIFIED,outcrop,serp_lizardite,none,greenfield,,,,WSP Stage-3 site; 99% ophiolite by area; centroid unknown,B: greenfield / project,10.450000000000045,90.68,601.2,0.0,0.7078417602992138,TUR,400.0,Turkey: WSP: ~0.38-0.42,,tier default range
Niquelândia complex,Brazil,-14.47,-48.46,Wikidata Q1794378 (town) / SGB unit 1.0 km,verified-footprint 1.0 km (SGB 1:1M 'Zona Ultramáfica'),tailings,dunite_fresh,nickel laterite,active (Anglo American/others),,unknown,,dunite/orthopyroxenite/chromitite; Ni-laterite saprolite overburden also present,A: existing tailings,24.850000000000023,9.92,1477.2,2.25,0.7739018959656503,BRA,105.0,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Barro Alto,Brazil,-15.1,-48.9,approximate,footprint 4.4 km (SGB mafic zone); refine,tailings,laterite_saprolite,nickel laterite,active,,unknown,,,A: existing tailings,25.05000000000001,9.9,1493.8000000000002,0.5,1.7035941870681404,BRA,105.0,Brazil Centre-West (SIN): WSP: ~0.09-0.12,,tier default range
Koniambo,New Caledonia,-21.0,164.8,approximate,verified-footprint 0 km (Georep 1:50k laterites sur péridotites),tailings,laterite_saprolite,nickel laterite,care and maintenance 2024,,unknown,,,A: existing tailings,19.850000000000023,24.23,1827.3000000000002,9.0,5.636579869112821,NCL,560.9,Ember latest year,,tier default range
Tiébaghi,New Caledonia,-20.45,164.2,approximate,verified-footprint 0 km (Georep),tailings,laterite_saprolite,nickel laterite,active (SLN),,unknown,,,A: existing tailings,21.350000000000023,20.92,1355.6000000000001,2.25,1.7473769103063432,NCL,560.9,Ember latest year,,tier default range
Goro (Massif du Sud),New Caledonia,-22.3,167.0,approximate,verified-footprint 0 km (Georep),tailings,laterite_saprolite,nickel laterite,active (Prony Resources),,unknown,,"HPAL residue, not serpentinite tailings; class to confirm",A: existing tailings,21.750000000000057,19.96,2715.1000000000004,4.25,0.7574299986678876,NCL,560.9,Ember latest year,,tier default range
